dist,pow,lum
0.02,3.5,69.6
0.02,3.6,71.4
0.02,3.7,73.2
0.02,3.8,75
0.02,3.9,76.8
0.021,2,37.8
0.021,2.1,39.7
0.021,2.2,41.6
0.021,2.3,43.5
0.021,2.4,45.3
0.021,2.5,47.2
0.021,2.6,49.1
0.021,2.7,50.9
0.021,2.8,52.8
0.021,2.9,54.6
0.021,3,56.4
0.021,3.1,58.2
0.021,3.2,60
0.021,3.3,61.8
0.021,3.4,63.5
0.021,3.5,65.3
0.021,3.6,67
0.021,3.7,68.7
0.021,3.8,70.4
0.021,3.9,72.1
0.022,2,35.4
0.022,2.1,37.2
0.022,2.2,39
0.022,2.3,40.7
0.022,2.4,42.5
0.022,2.5,44.2
0.022,2.6,46
0.022,2.7,47.7
0.022,2.8,49.5
0.022,2.9,51.2
0.022,3,52.9
0.022,3.1,54.6
0.022,3.2,56.3
0.022,3.3,58
0.022,3.4,59.7
0.022,3.5,61.3
0.022,3.6,63
0.022,3.7,64.6
0.022,3.8,66.2
0.022,3.9,67.8
0.023,2,33.3
0.023,2.1,34.9
0.023,2.2,36.6
0.023,2.3,38.2
0.023,2.4,39.9
0.023,2.5,41.6
0.023,2.6,43.2
0.023,2.7,44.8
0.023,2.8,46.5
0.023,2.9,48.1
0.023,3,49.7
0.023,3.1,51.4
0.023,3.2,53
0.023,3.3,54.6
0.023,3.4,56.1
0.023,3.5,57.7
0.023,3.6,59.3
0.023,3.7,60.8
0.023,3.8,62.3
0.023,3.9,63.9
0.024,2,31.3
0.024,2.1,32.9
0.024,2.2,34.5
0.024,2.3,36
0.024,2.4,37.6
0.024,2.5,39.1
0.024,2.6,40.7
0.024,2.7,42.2
0.024,2.8,43.8
0.024,2.9,45.3
0.024,3,46.9
0.024,3.1,48.4
0.024,3.2,49.9
0.024,3.3,51.4
0.024,3.4,52.9
0.024,3.5,54.4
0.024,3.6,55.9
0.024,3.7,57.4
0.024,3.8,58.9
0.024,3.9,60.3
0.025,2,29.6
0.025,2.1,31.1
0.025,2.2,32.5
0.025,2.3,34
0.025,2.4,35.5
0.025,2.5,37
0.025,2.6,38.4
0.025,2.7,39.9
0.025,2.8,41.4
0.025,2.9,42.8
0.025,3,44.3
0.025,3.1,45.7
0.025,3.2,47.2
0.025,3.3,48.6
0.025,3.4,50
0.025,3.5,51.5
0.025,3.6,52.9
0.025,3.7,54.3
0.025,3.8,55.7
0.025,3.9,57.1
0,4,744.4
0,4.1,751.6
0,4.2,758.8
0,4.3,765.9
0,4.4,772.9
0,4.5,779.9
0,4.6,786.8
0,4.7,793.6
0,4.8,800.4
0,4.9,807.1
0,5,813.8
0,5.1,820.4
0,5.2,827
0,5.3,833.6
0,5.4,840
0,5.5,846.5
0,5.6,852.9
0,5.7,859.2
0,5.8,865.6
0,5.9,871.8
0,6,878.1
0.001,4,594.4
0.001,4.1,600.4
0.001,4.2,606.4
0.001,4.3,612.2
0.001,4.4,618.1
0.001,4.5,623.8
0.001,4.6,629.5
0.001,4.7,635.2
0.001,4.8,640.8
0.001,4.9,646.3
0.001,5,651.8
0.001,5.1,657.3
0.001,5.2,662.7
0.001,5.3,668
0.001,5.4,673.4
0.001,5.5,678.7
0.001,5.6,683.9
0.001,5.7,689.2
0.001,5.8,694.4
0.001,5.9,699.5
0.001,6,704.6
0.002,4,503.1
0.002,4.1,508.4
0.002,4.2,513.6
0.002,4.3,518.8
0.002,4.4,523.9
0.002,4.5,528.9
0.002,4.6,534
0.002,4.7,538.9
0.002,4.8,543.8
0.002,4.9,548.7
0.002,5,553.5
0.002,5.1,558.3
0.002,5.2,563
0.002,5.3,567.7
0.002,5.4,572.4
0.002,5.5,577
0.002,5.6,581.6
0.002,5.7,586.2
0.002,5.8,590.7
0.002,5.9,595.2
0.002,6,599.7
0.003,4,435.1
0.003,4.1,440.2
0.003,4.2,445.1
0.003,4.3,449.9
0.003,4.4,454.5
0.003,4.5,459.2
0.003,4.6,463.7
0.003,4.7,468.2
0.003,4.8,472.6
0.003,4.9,477
0.003,5,481.3
0.003,5.1,485.6
0.003,5.2,489.9
0.003,5.3,494.1
0.003,5.4,498.3
0.003,5.5,502.4
0.003,5.6,506.5
0.003,5.7,510.6
0.003,5.8,514.7
0.003,5.9,518.7
0.003,6,522.7
0.004,4,378
0.004,4.1,382.9
0.004,4.2,387.8
0.004,4.3,392.7
0.004,4.4,397.4
0.004,4.5,401.9
0.004,4.6,406.5
0.004,4.7,410.9
0.004,4.8,415.1
0.004,4.9,419.4
0.004,5,423.5
0.004,5.1,427.5
0.004,5.2,431.5
0.004,5.3,435.4
0.004,5.4,439.3
0.004,5.5,443.2
0.004,5.6,446.9
0.004,5.7,450.7
0.004,5.8,454.4
0.004,5.9,458
0.004,6,461.7
0.005,4,330.3
0.005,4.1,335.3
0.005,4.2,340.2
0.005,4.3,344.9
0.005,4.4,349.5
0.005,4.5,354.1
0.005,4.6,358.5
0.005,4.7,362.8
0.005,4.8,367
0.005,4.9,371.2
0.005,5,375.4
0.005,5.1,379.4
0.005,5.2,383.3
0.005,5.3,387.1
0.005,5.4,390.9
0.005,5.5,394.7
0.005,5.6,398.3
0.005,5.7,401.9
0.005,5.8,405.4
0.005,5.9,408.9
0.005,6,412.3
0.006,4,288.4
0.006,4.1,293.5
0.006,4.2,298.4
0.006,4.3,303.1
0.006,4.4,307.8
0.006,4.5,312.3
0.006,4.6,316.8
0.006,4.7,321.1
0.006,4.8,325.2
0.006,4.9,329.3
0.006,5,333.4
0.006,5.1,337.3
0.006,5.2,341.2
0.006,5.3,345
0.006,5.4,348.7
0.006,5.5,352.3
0.006,5.6,355.9
0.006,5.7,359.5
0.006,5.8,363
0.006,5.9,366.4
0.006,6,369.8
0.007,4,253.5
0.007,4.1,258.3
0.007,4.2,263
0.007,4.3,267.6
0.007,4.4,272.1
0.007,4.5,276.6
0.007,4.6,281.1
0.007,4.7,285.3
0.007,4.8,289.5
0.007,4.9,293.6
0.007,5,297.6
0.007,5.1,301.5
0.007,5.2,305.3
0.007,5.3,309
0.007,5.4,312.7
0.007,5.5,316.4
0.007,5.6,320
0.007,5.7,323.5
0.007,5.8,326.9
0.007,5.9,330.2
0.007,6,333.5
0.008,4,224.1
0.008,4.1,228.5
0.008,4.2,232.8
0.008,4.3,237.2
0.008,4.4,241.5
0.008,4.5,245.7
0.008,4.6,249.8
0.008,4.7,253.9
0.008,4.8,257.9
0.008,4.9,261.9
